state,x,y
Andhra Pradesh,-55,-143
Arunachal Pradesh,187,90
Assam,169,54
Bihar,49,41
Chhattisgarh,-3,-17
Goa,-134,-137
Gujarat,-166,-20
Haryana,-110,104
Himachal Pradesh,-88,163
Jharkhand,40,10
Karnataka,-105,-155
Kerala,-96,-221
Madhya Pradesh,-61,-3
Maharashtra,-110,-75
Manipur,188,24
Meghalaya,134,37
Mizoram,168,-4
Nagaland,200,46
Odisha,33,-52
Punjab,-120,139
Rajasthan,-158,61
Sikkim,97,78
Tamil Nadu,-54,-210
Telangana,-59,-100
Tripura,144,5
Uttarakhand,-52,136
Uttar Pradesh ,-42,70
West Bengal,89,-15
